node_use, park_name, items_name, easting, node_id, description, item_id, ogc_fid, pr_no, longitude, latitude, northing, nodes_name, item_type
"PLAYGROUND NODE","KITCHENER PARK",null,"516,569.48","21,039","tennis net","163,778",458,"D0006",153.1676706,-27.44516618,"6,964,245.77","DAISY ST (TENNIS CLUB) PLAYGROUND & ACTIVITY SPACE","SPORT FACILITY COMPONENT"
"PLAYGROUND NODE","KITCHENER PARK",null,"516,594.16","21,039","tennis net","163,780",459,"D0006",153.1679199,-27.44487049,"6,964,278.49","DAISY ST (TENNIS CLUB) PLAYGROUND & ACTIVITY SPACE","SPORT FACILITY COMPONENT"
"PLAYGROUND NODE","KITCHENER PARK",null,"516,586.98","21,039","umpires chair","163,962",460,"D0006",153.1678473,-27.44486227,"6,964,279.41","DAISY ST (TENNIS CLUB) PLAYGROUND & ACTIVITY SPACE","SPORT FACILITY COMPONENT"
"PLAYGROUND NODE","KITCHENER PARK",null,"516,562.29","21,039","umpires chair","163,961",461,"D0006",153.1675979,-27.4451558,"6,964,246.93","DAISY ST (TENNIS CLUB) PLAYGROUND & ACTIVITY SPACE","SPORT FACILITY COMPONENT"
"PLAYGROUND NODE","KITCHENER PARK",null,"516,544.09","21,039","umpires chair","163,960",462,"D0006",153.1674136,-27.44512677,"6,964,250.17","DAISY ST (TENNIS CLUB) PLAYGROUND & ACTIVITY SPACE","SPORT FACILITY COMPONENT"
"PLAYGROUND NODE","KITCHENER PARK",null,"516,525.25","21,039","umpires chair","163,959",463,"D0006",153.1672229,-27.44509468,"6,964,253.75","DAISY ST (TENNIS CLUB) PLAYGROUND & ACTIVITY SPACE","SPORT FACILITY COMPONENT"
"PLAYGROUND NODE","KITCHENER PARK",null,"516,508.16","21,039","umpires chair","163,958",464,"D0006",153.16705,-27.44505724,"6,964,257.92","DAISY ST (TENNIS CLUB) PLAYGROUND & ACTIVITY SPACE","SPORT FACILITY COMPONENT"
"PLAYGROUND NODE","KITCHENER PARK",null,"516,520.69","21,039","tennis net","163,781",465,"D0006",153.1671758,-27.44443352,"6,964,326.99","DAISY ST (TENNIS CLUB) PLAYGROUND & ACTIVITY SPACE","SPORT FACILITY COMPONENT"
"PLAYGROUND NODE","KITCHENER PARK",null,"516,576.08","21,039","tennis net","163,779",466,"D0006",153.1677369,-27.44484218,"6,964,281.65","DAISY ST (TENNIS CLUB) PLAYGROUND & ACTIVITY SPACE","SPORT FACILITY COMPONENT"
"PLAYGROUND NODE","KITCHENER PARK",null,"516,551.40","21,039","tennis net","163,777",467,"D0006",153.1674876,-27.44513526,"6,964,249.22","DAISY ST (TENNIS CLUB) PLAYGROUND & ACTIVITY SPACE","SPORT FACILITY COMPONENT"
"PLAYGROUND NODE","KITCHENER PARK",null,"516,520.98","21,039","tennis net","163,773",468,"D0006",153.1671792,-27.44474959,"6,964,291.98","DAISY ST (TENNIS CLUB) PLAYGROUND & ACTIVITY SPACE","SPORT FACILITY COMPONENT"
"SPORTING NODE","KITCHENER PARK",null,"516,520.03","21,052","goal post","163,873",469,"D0006",153.1671732,-27.44712874,"6,964,028.45","WYNNUM MANLY JR RUGBY LEAGUE FACILITY","SPORT FACILITY COMPONENT"
"SPORTING NODE","KITCHENER PARK",null,"516,566.89","21,052","score board- electronic","163,871",470,"D0006",153.1676462,-27.44635746,"6,964,113.82","WYNNUM MANLY JR RUGBY LEAGUE FACILITY","SPORT FACILITY COMPONENT"
"SPORTING NODE","KITCHENER PARK",null,"516,500.81","21,052","goal post","163,867",471,"D0006",153.1669779,-27.4466087,"6,964,086.08","WYNNUM MANLY JR RUGBY LEAGUE FACILITY","SPORT FACILITY COMPONENT"
"SPORTING NODE","KITCHENER PARK",null,"516,550.98","21,052","football goal","163,787",472,"D0006",153.167484,-27.44554631,"6,964,203.69","WYNNUM MANLY JR RUGBY LEAGUE FACILITY","SPORT FACILITY COMPONENT"
"SPORTING NODE","KITCHENER PARK",null,"516,522.50","21,052","football goal","163,786",473,"D0006",153.1671971,-27.44642336,"6,964,106.58","WYNNUM MANLY JR RUGBY LEAGUE FACILITY","SPORT FACILITY COMPONENT"
"SPORTING NODE","KITCHENER PARK",null,"516,465.29","21,052","football goal","163,785",474,"D0006",153.1666195,-27.44730067,"6,964,009.48","WYNNUM MANLY JR RUGBY LEAGUE FACILITY","SPORT FACILITY COMPONENT"
"SPORTING NODE","KITCHENER PARK",null,"516,432.00","21,052","football goal","163,784",475,"D0006",153.1662814,-27.44644675,"6,964,104.11","WYNNUM MANLY JR RUGBY LEAGUE FACILITY","SPORT FACILITY COMPONENT"
"BALANCE OF PARK","IRIS PLACE PARK",null,"503,639.00","12,118","shared","103,300",89903,"D1461",153.0367907,-27.34484976,"6,975,368.00","BALANCE OF PARK","BIKEWAY"
"SPORTING NODE","KITCHENER PARK",null,"516,393.91","21,051","in ground structure for golfers- unknown use","163,864",476,"D0006",153.1658947,-27.44565401,"6,964,191.97","WYNNUM GOLF CLUB PRACTICE RANGE","SPORT FACILITY COMPONENT"
"SPORTING NODE","KITCHENER PARK",null,"516,570.18","21,050","players rest shelter with sink","163,973",477,"D0006",153.1676769,-27.44465347,"6,964,302.56","WYNNUM DISTRICT LAWN TENNIS FACILITY","SPORT FACILITY COMPONENT"
"PLAYGROUND NODE","KITCHENER PARK",null,"516,592.22","21,039","Player shelter with sink.","163,972",478,"D0006",153.1679,-27.44468995,"6,964,298.49","DAISY ST (TENNIS CLUB) PLAYGROUND & ACTIVITY SPACE","SPORT FACILITY COMPONENT"
"PLAYGROUND NODE","KITCHENER PARK",null,"516,514.21","21,039","umpires chair","163,965",479,"D0006",153.1671102,-27.44442033,"6,964,328.46","DAISY ST (TENNIS CLUB) PLAYGROUND & ACTIVITY SPACE","SPORT FACILITY COMPONENT"
"PLAYGROUND NODE","KITCHENER PARK",null,"516,550.27","21,039","umpires chair","163,964",480,"D0006",153.1674757,-27.44480701,"6,964,285.58","DAISY ST (TENNIS CLUB) PLAYGROUND & ACTIVITY SPACE","SPORT FACILITY COMPONENT"
"PLAYGROUND NODE","KITCHENER PARK",null,"516,567.16","21,039","umpires chair","163,963",481,"D0006",153.1676466,-27.44483028,"6,964,282.98","DAISY ST (TENNIS CLUB) PLAYGROUND & ACTIVITY SPACE","SPORT FACILITY COMPONENT"
"PLAYGROUND NODE","KITCHENER PARK",null,"516,539.63","21,039","tennis net","163,774",482,"D0006",153.167368,-27.44478304,"6,964,288.25","DAISY ST (TENNIS CLUB) PLAYGROUND & ACTIVITY SPACE","SPORT FACILITY COMPONENT"
"PLAYGROUND NODE","KITCHENER PARK",null,"516,558.00","21,039","tennis net","163,776",483,"D0006",153.1675539,-27.44481396,"6,964,284.80","DAISY ST (TENNIS CLUB) PLAYGROUND & ACTIVITY SPACE","SPORT FACILITY COMPONENT"
"PLAYGROUND NODE","KITCHENER PARK",null,"516,533.03","21,039","tennis net","163,775",484,"D0006",153.1673017,-27.44509919,"6,964,253.24","DAISY ST (TENNIS CLUB) PLAYGROUND & ACTIVITY SPACE","SPORT FACILITY COMPONENT"
"SPORTING NODE","KITCHENER PARK",null,"516,576.00","21,049","Wynnum Croquet clubhouse","61,799",485,"D0006",153.1677352,-27.44426123,"6,964,346.00","WYNNUM CROQUET CLUB","SPORTING CLUBHOUSE"
"SPORTING NODE","KITCHENER PARK",null,"516,542.00","21,050","Tennis clubhouse","61,801",486,"D0006",153.1673914,-27.44440609,"6,964,330.00","WYNNUM DISTRICT LAWN TENNIS FACILITY","SPORTING CLUBHOUSE"
"SPORTING NODE","KITCHENER PARK",null,"516,468.00","21,052","Wynnum Manly Rugby Clubhouse","61,800",487,"D0006",153.1666449,-27.44591466,"6,964,163.00","WYNNUM MANLY JR RUGBY LEAGUE FACILITY","SPORTING CLUBHOUSE"
"PLAYGROUND NODE","KITCHENER PARK",null,"516,515.38","21,039","tennis court","163,771",488,"D0006",153.167123,-27.44507349,"6,964,256.11","DAISY ST (TENNIS CLUB) PLAYGROUND & ACTIVITY SPACE","SPORTING COURT"
"SPORTING NODE","KITCHENER PARK",null,"516,520.83","21,050","tennis court","368",489,"D0006",153.1671772,-27.44443605,"6,964,326.71","WYNNUM DISTRICT LAWN TENNIS FACILITY","SPORTING COURT"
"SPORTING NODE","KITCHENER PARK",null,"516,533.46","21,050","tennis court","367",490,"D0006",153.167306,-27.44510568,"6,964,252.52","WYNNUM DISTRICT LAWN TENNIS FACILITY","SPORTING COURT"
"BALANCE OF PARK","KITCHENER PARK",null,"516,551.40","21,040","tennis court","176,444",491,"D0006",153.1674876,-27.44513778,"6,964,248.94","BALANCE OF PARK","SPORTING COURT"
"PLAYGROUND NODE","KITCHENER PARK",null,"516,521.41","21,039","tennis court","176,443",492,"D0006",153.1671836,-27.44475599,"6,964,291.27","DAISY ST (TENNIS CLUB) PLAYGROUND & ACTIVITY SPACE","SPORTING COURT"
"PLAYGROUND NODE","KITCHENER PARK",null,"516,539.78","21,039","tennis court","176,442",493,"D0006",153.1673695,-27.44478692,"6,964,287.82","DAISY ST (TENNIS CLUB) PLAYGROUND & ACTIVITY SPACE","SPORTING COURT"
"PLAYGROUND NODE","KITCHENER PARK",null,"516,594.02","21,039","tennis court","176,439",494,"D0006",153.1679185,-27.44487563,"6,964,277.92","DAISY ST (TENNIS CLUB) PLAYGROUND & ACTIVITY SPACE","SPORTING COURT"
"PLAYGROUND NODE","KITCHENER PARK",null,"516,575.94","21,039","tennis court","176,440",495,"D0006",153.1677355,-27.4448448,"6,964,281.36","DAISY ST (TENNIS CLUB) PLAYGROUND & ACTIVITY SPACE","SPORTING COURT"
"PLAYGROUND NODE","KITCHENER PARK",null,"516,569.91","21,039","tennis court","176,438",496,"D0006",153.167675,-27.4451622,"6,964,246.21","DAISY ST (TENNIS CLUB) PLAYGROUND & ACTIVITY SPACE","SPORTING COURT"
"PLAYGROUND NODE","KITCHENER PARK",null,"516,557.42","21,039","tennis court","176,441",497,"D0006",153.1675481,-27.44481776,"6,964,284.38","DAISY ST (TENNIS CLUB) PLAYGROUND & ACTIVITY SPACE","SPORTING COURT"
"SPORTING NODE","DITTMER PARK",null,"507,553.00","20,665","Timber wall (converted cricket practice)","54,032",645,"D0007",153.0765039,-27.55105154,"6,952,526.00","QUEENSLAND LIONS SOCCER & AFL FIELDS","REBOUND WALL"
"SPORTING NODE","DITTMER PARK",null,"507,766.83","20,665","AFL pole single","92,512",702,"D0007",153.0786708,-27.5525179,"6,952,363.44","QUEENSLAND LIONS SOCCER & AFL FIELDS","SPORT FACILITY COMPONENT"
"SPORTING NODE","DITTMER PARK",null,"507,782.48","20,665","AFL pole single","92,519",703,"D0007",153.0788283,-27.55106098,"6,952,524.81","QUEENSLAND LIONS SOCCER & AFL FIELDS","SPORT FACILITY COMPONENT"
"SPORTING NODE","DITTMER PARK",null,"507,489.55","20,665","soccer goal","93,043",704,"D0007",153.0758616,-27.55165134,"6,952,459.60","QUEENSLAND LIONS SOCCER & AFL FIELDS","SPORT FACILITY COMPONENT"
"SPORTING NODE","DITTMER PARK",null,"507,558.28","20,665","soccer goal","93,042",705,"D0007",153.076558,-27.55198138,"6,952,423.00","QUEENSLAND LIONS SOCCER & AFL FIELDS","SPORT FACILITY COMPONENT"
"SPORTING NODE","DITTMER PARK",null,"507,552.33","20,665","soccer goal","93,041",706,"D0007",153.0764976,-27.55181747,"6,952,441.16","QUEENSLAND LIONS SOCCER & AFL FIELDS","SPORT FACILITY COMPONENT"
"SPORTING NODE","DITTMER PARK",null,"507,557.08","20,665","soccer goal","93,040",707,"D0007",153.0765455,-27.55153487,"6,952,472.46","QUEENSLAND LIONS SOCCER & AFL FIELDS","SPORT FACILITY COMPONENT"
"SPORTING NODE","DITTMER PARK",null,"507,548.74","20,665","soccer goal","93,039",708,"D0007",153.0764607,-27.55102619,"6,952,528.81","QUEENSLAND LIONS SOCCER & AFL FIELDS","SPORT FACILITY COMPONENT"
"SPORTING NODE","DITTMER PARK",null,"507,556.41","20,665","soccer goal","93,038",709,"D0007",153.0765385,-27.55110776,"6,952,519.77","QUEENSLAND LIONS SOCCER & AFL FIELDS","SPORT FACILITY COMPONENT"
"SPORTING NODE","DITTMER PARK",null,"507,550.12","20,665","soccer goal","93,037",710,"D0007",153.0764748,-27.55111936,"6,952,518.49","QUEENSLAND LIONS SOCCER & AFL FIELDS","SPORT FACILITY COMPONENT"
"SPORTING NODE","DITTMER PARK",null,"507,535.44","20,665","soccer goal","92,709",711,"D0007",153.076326,-27.55109434,"6,952,521.27","QUEENSLAND LIONS SOCCER & AFL FIELDS","SPORT FACILITY COMPONENT"
"SPORTING NODE","DITTMER PARK",null,"507,512.87","20,665","soccer goal","92,708",712,"D0007",153.076098,-27.55196782,"6,952,424.53","QUEENSLAND LIONS SOCCER & AFL FIELDS","SPORT FACILITY COMPONENT"
"SPORTING NODE","DITTMER PARK",null,"507,598.64","20,665","soccer goal","92,707",713,"D0007",153.0769669,-27.55212271,"6,952,407.32","QUEENSLAND LIONS SOCCER & AFL FIELDS","SPORT FACILITY COMPONENT"
"SPORTING NODE","DITTMER PARK",null,"507,621.05","20,665","soccer goal","92,706",714,"D0007",153.0771933,-27.55123334,"6,952,505.82","QUEENSLAND LIONS SOCCER & AFL FIELDS","SPORT FACILITY COMPONENT"
"SPORTING NODE","DITTMER PARK",null,"507,586.75","20,665","soccer goal","92,705",715,"D0007",153.0768456,-27.55084642,"6,952,548.70","QUEENSLAND LIONS SOCCER & AFL FIELDS","SPORT FACILITY COMPONENT"
"SPORTING NODE","DITTMER PARK",null,"507,632.03","20,665","soccer goal","92,704",716,"D0007",153.0773043,-27.55092769,"6,952,539.67","QUEENSLAND LIONS SOCCER & AFL FIELDS","SPORT FACILITY COMPONENT"
"SPORTING NODE","DITTMER PARK",null,"507,776.94","20,665","AFL pole single","92,518",717,"D0007",153.0787722,-27.55105479,"6,952,525.50","QUEENSLAND LIONS SOCCER & AFL FIELDS","SPORT FACILITY COMPONENT"
"SPORTING NODE","DITTMER PARK",null,"507,773.14","20,665","AFL pole single","92,513",718,"D0007",153.0787347,-27.55251471,"6,952,363.79","QUEENSLAND LIONS SOCCER & AFL FIELDS","SPORT FACILITY COMPONENT"
"SPORTING NODE","DITTMER PARK",null,"507,785.77","20,665","AFL pole single","92,515",719,"D0007",153.0788626,-27.55251698,"6,952,363.53","QUEENSLAND LIONS SOCCER & AFL FIELDS","SPORT FACILITY COMPONENT"
"SPORTING NODE","DITTMER PARK",null,"507,760.44","20,665","AFL pole single","92,516",720,"D0007",153.078605,-27.55106346,"6,952,524.55","QUEENSLAND LIONS SOCCER & AFL FIELDS","SPORT FACILITY COMPONENT"
"SPORTING NODE","DITTMER PARK",null,"507,766.83","20,665","AFL pole single","92,517",721,"D0007",153.0786697,-27.55105719,"6,952,525.24","QUEENSLAND LIONS SOCCER & AFL FIELDS","SPORT FACILITY COMPONENT"
"SPORTING NODE","DITTMER PARK",null,"507,779.62","20,665","AFL pole single","92,514",722,"D0007",153.0788003,-27.5525162,"6,952,363.62","QUEENSLAND LIONS SOCCER & AFL FIELDS","SPORT FACILITY COMPONENT"
"SPORTING NODE","DITTMER PARK",null,"507,609.46","20,665","soccer","92,703",723,"D0007",153.0770756,-27.55088538,"6,952,544.37","QUEENSLAND LIONS SOCCER & AFL FIELDS","SPORTING FIELD"
"SPORTING NODE","DITTMER PARK",null,"507,524.68","20,665","Soccer","410",724,"D0007",153.0762174,-27.55153397,"6,952,472.58","QUEENSLAND LIONS SOCCER & AFL FIELDS","SPORTING FIELD"
"SPORTING NODE","DITTMER PARK",null,"507,610.11","20,665","Soccer","403",725,"D0007",153.0770828,-27.55168137,"6,952,456.20","QUEENSLAND LIONS SOCCER & AFL FIELDS","SPORTING FIELD"
"SPORTING NODE","DITTMER PARK",null,"507,773.61","20,665","Aussie Rules Oval","45,338",726,"D0007",153.0787389,-27.55178426,"6,952,444.70","QUEENSLAND LIONS SOCCER & AFL FIELDS","SPORTING FIELD"
"BALANCE OF PARK","DITTMER PARK",null,"507,505.62","20,662",null,"102,081",727,"D0007",153.0760237,-27.55068121,"6,952,567.05","BALANCE OF PARK","WALKING TRACK"
"BALANCE OF PARK","FAULKNER PARK",null,"498,088.41","20,315","Cora - Bikerack","45,212",842,"D0010",152.9806435,-27.5176345,"6,956,229.71","BALANCE OF PARK","BIKE RACK"
"BALANCE OF PARK","FAULKNER PARK",null,"498,562.30","20,315","Deco","6,296",843,"D0010",152.985442,-27.51752793,"6,956,241.58","BALANCE OF PARK","BIKEWAY"
"BALANCE OF PARK","FAULKNER PARK",null,"498,512.66","20,315",null,"6,330",844,"D0010",152.9849394,-27.51766844,"6,956,226.01","BALANCE OF PARK","BIKEWAY"
"DOG OFF LEASH NODE","FAULKNER PARK",null,"498,646.35","20,311","GROOMING TABLE","34,094",855,"D0010",152.986293,-27.51878777,"6,956,102.04","WARATAH AVE DOG OFF LEASH AREA","DOG EXERCISE EQUIPMENT"
"DOG OFF LEASH NODE","FAULKNER PARK",null,"498,629.24","20,311","HURDLE","34,098",856,"D0010",152.9861197,-27.5188365,"6,956,096.64","WARATAH AVE DOG OFF LEASH AREA","DOG EXERCISE EQUIPMENT"
"DOG OFF LEASH NODE","FAULKNER PARK",null,"498,633.67","20,311","HURDLE","34,099",857,"D0010",152.9861645,-27.51888598,"6,956,091.16","WARATAH AVE DOG OFF LEASH AREA","DOG EXERCISE EQUIPMENT"
"DOG OFF LEASH NODE","FAULKNER PARK",null,"498,653.70","20,311","HOOP","172,343",858,"D0010",152.9863674,-27.51883111,"6,956,097.24","WARATAH AVE DOG OFF LEASH AREA","DOG EXERCISE EQUIPMENT"
"DOG OFF LEASH NODE","FAULKNER PARK",null,"498,655.69","20,311","POLE SET","172,342",859,"D0010",152.9863875,-27.51892446,"6,956,086.90","WARATAH AVE DOG OFF LEASH AREA","DOG EXERCISE EQUIPMENT"
"DOG OFF LEASH NODE","FAULKNER PARK",null,"498,634.34","20,311","TUNNEL","34,095",860,"D0010",152.9861713,-27.51875724,"6,956,105.42","WARATAH AVE DOG OFF LEASH AREA","DOG EXERCISE EQUIPMENT"
"SPORTING NODE","FAULKNER PARK",null,"498,192.36","20,320","WESTERN DISTRICTS NETBALL CLUB","61,851",966,"D0010",152.9816962,-27.51663182,"6,956,340.79","WESTERN DISTRICTS NETBALL FACILITY","SPORTING CLUBHOUSE"
"SPORTING NODE","FAULKNER PARK",null,"498,110.20","20,320","Netball Court","177,860",967,"D0010",152.9808642,-27.51702623,"6,956,297.09","WESTERN DISTRICTS NETBALL FACILITY","SPORTING COURT"
"SPORTING NODE","FAULKNER PARK",null,"498,149.19","20,320","Netball Court","177,861",968,"D0010",152.981259,-27.51708145,"6,956,290.98","WESTERN DISTRICTS NETBALL FACILITY","SPORTING COURT"
"SPORTING NODE","FAULKNER PARK",null,"498,103.70","20,320","Netball Court","177,862",969,"D0010",152.9807983,-27.51737822,"6,956,258.10","WESTERN DISTRICTS NETBALL FACILITY","SPORTING COURT"
"SPORTING NODE","FAULKNER PARK",null,"498,142.55","20,320","Netball Court","177,864",970,"D0010",152.9811917,-27.51743452,"6,956,251.87","WESTERN DISTRICTS NETBALL FACILITY","SPORTING COURT"
"SPORTING NODE","FAULKNER PARK",null,"498,183.19","20,320","Netball Court","177,866",971,"D0010",152.9816032,-27.51745651,"6,956,249.44","WESTERN DISTRICTS NETBALL FACILITY","SPORTING COURT"
"SPORTING NODE","FAULKNER PARK",null,"498,248.62","20,320","Netball Court","177,974",972,"D0010",152.9822658,-27.51724751,"6,956,272.60","WESTERN DISTRICTS NETBALL FACILITY","SPORTING COURT"
"SPORTING NODE","FAULKNER PARK",null,"498,230.45","20,320","Netball Court","177,881",973,"D0010",152.9820818,-27.51722636,"6,956,274.94","WESTERN DISTRICTS NETBALL FACILITY","SPORTING COURT"
"SPORTING NODE","FAULKNER PARK",null,"498,086.72","20,320","Netball Court","177,880",974,"D0010",152.9806265,-27.51658789,"6,956,345.64","WESTERN DISTRICTS NETBALL FACILITY","SPORTING COURT"
"SPORTING NODE","FAULKNER PARK",null,"498,062.46","20,320","Netball Court","177,879",975,"D0010",152.9803809,-27.51656421,"6,956,348.26","WESTERN DISTRICTS NETBALL FACILITY","SPORTING COURT"
"SPORTING NODE","FAULKNER PARK",null,"498,088.98","20,320","Netball Court","177,878",976,"D0010",152.9806494,-27.51647839,"6,956,357.77","WESTERN DISTRICTS NETBALL FACILITY","SPORTING COURT"
"SPORTING NODE","FAULKNER PARK",null,"498,170.39","20,320","Netball Court","177,870",977,"D0010",152.9814737,-27.51712824,"6,956,285.80","WESTERN DISTRICTS NETBALL FACILITY","SPORTING COURT"
"SPORTING NODE","FAULKNER PARK",null,"498,188.87","20,320","Netball Court","177,869",978,"D0010",152.9816608,-27.51715589,"6,956,282.74","WESTERN DISTRICTS NETBALL FACILITY","SPORTING COURT"
"SPORTING NODE","FAULKNER PARK",null,"498,207.48","20,320","Netball Court","177,868",979,"D0010",152.9818492,-27.51718553,"6,956,279.46","WESTERN DISTRICTS NETBALL FACILITY","SPORTING COURT"
"SPORTING NODE","FAULKNER PARK",null,"498,201.67","20,320","Netball Court","177,867",980,"D0010",152.9817904,-27.51748389,"6,956,246.41","WESTERN DISTRICTS NETBALL FACILITY","SPORTING COURT"
"SPORTING NODE","FAULKNER PARK",null,"498,063.91","20,320","Netball Court","6,337",981,"D0010",152.9803956,-27.51644748,"6,956,361.19","WESTERN DISTRICTS NETBALL FACILITY","SPORTING COURT"
"SPORTING NODE","FAULKNER PARK",null,"498,129.76","20,320","Netball Court","6,336",982,"D0010",152.9810623,-27.51705461,"6,956,293.95","WESTERN DISTRICTS NETBALL FACILITY","SPORTING COURT"
"SPORTING NODE","FAULKNER PARK",null,"498,279.91","20,320","Netball Court","177,980",983,"D0010",152.9825826,-27.51762239,"6,956,231.08","WESTERN DISTRICTS NETBALL FACILITY","SPORTING COURT"
"SPORTING NODE","FAULKNER PARK",null,"498,261.95","20,320","Netball Court","177,979",984,"D0010",152.9824007,-27.51760043,"6,956,233.51","WESTERN DISTRICTS NETBALL FACILITY","SPORTING COURT"
"SPORTING NODE","FAULKNER PARK",null,"498,243.25","20,320","Netball Court","177,978",985,"D0010",152.9822114,-27.51756592,"6,956,237.33","WESTERN DISTRICTS NETBALL FACILITY","SPORTING COURT"
"SPORTING NODE","FAULKNER PARK",null,"498,224.71","20,320","Netball Court","177,977",986,"D0010",152.9820236,-27.51754116,"6,956,240.07","WESTERN DISTRICTS NETBALL FACILITY","SPORTING COURT"
"SPORTING NODE","FAULKNER PARK",null,"498,267.80","20,320","Netball Court","177,976",987,"D0010",152.98246,-27.51727543,"6,956,269.51","WESTERN DISTRICTS NETBALL FACILITY","SPORTING COURT"
"SPORTING NODE","FAULKNER PARK",null,"498,286.55","20,320","Netball Court","177,975",988,"D0010",152.9826499,-27.51730037,"6,956,266.75","WESTERN DISTRICTS NETBALL FACILITY","SPORTING COURT"
"SPORTING NODE","FAULKNER PARK",null,"498,164.57","20,320","Netball Court","177,865",989,"D0010",152.9814147,-27.51742561,"6,956,252.86","WESTERN DISTRICTS NETBALL FACILITY","SPORTING COURT"
"SPORTING NODE","FAULKNER PARK",null,"498,123.26","20,320","Netball Court","177,863",990,"D0010",152.9809964,-27.51740741,"6,956,254.87","WESTERN DISTRICTS NETBALL FACILITY","SPORTING COURT"
"PLAYGROUND NODE","FAULKNER PARK",null,"498,604.94","20,313","SPICA","172,104",997,"D0010",152.9858737,-27.51838201,"6,956,146.98","LEYBOURNE ST PLAYGROUND","UPPER BODY EQUIPMENT"
"PLAYGROUND NODE","FAULKNER PARK",null,"498,620.26","20,313","SPICA","172,105",998,"D0010",152.9860288,-27.51839837,"6,956,145.17","LEYBOURNE ST PLAYGROUND","UPPER BODY EQUIPMENT"
"RECREATION NODE","GEORGE SCARLETT PARK",null,"498,460.27","33,630","half basketball court","6,352",1020,"D0011",152.9844044,-27.54943886,"6,952,706.87","GEORGE SCARLETT PK HALF COURT","BASKETBALL/NETBALL FACILITY"
"PLAYGROUND NODE","GEORGE SCARLETT PARK",null,"498,490.04","16,282","plastic covered chain timber wall component of JMS","185,201",1030,"D0011",152.9847059,-27.54970011,"6,952,677.93","CLIVEDEN AVE PLAYGROUND","CLIMBING WALL"
